Unnamed: 0,Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,Country,Date,Earnings,Players,Tournaments
4078,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-02-01,13141.28,79.0,11.0
4079,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-03-01,101861.58,122.0,15.0
4080,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-04-01,105160.27,94.0,13.0
4081,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-05-01,99589.92,102.0,10.0
4082,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-06-01,55753.35,85.0,7.0
4083,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-07-01,425214.0,195.0,18.0
4084,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-08-01,2903395.79,95.0,7.0
4085,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-09-01,37813.44,82.0,13.0
4086,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-10-01,64237.32,55.0,6.0
4087,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-11-01,484692.96,132.0,17.0
4088,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-12-01,249285.08,227.0,14.0
